Extracting CIFAR-100 to SLURM_TMPDIR...
Using device: cuda
Loading data from: /tmp
Starting exact memory-efficient training tracking batch deviations...
Epoch [60/160] | LR: 0.2941 | Train Acc: 99.85% | Test Acc: 74.51% | Time: 230.3s
Epoch [61/160] | LR: 0.2912 | Train Acc: 99.84% | Test Acc: 75.52% | Time: 230.4s
Epoch [62/160] | LR: 0.2882 | Train Acc: 99.85% | Test Acc: 75.28% | Time: 230.4s
Epoch [63/160] | LR: 0.2853 | Train Acc: 99.89% | Test Acc: 75.43% | Time: 230.4s
Epoch [64/160] | LR: 0.2824 | Train Acc: 99.89% | Test Acc: 75.50% | Time: 230.3s
Epoch [65/160] | LR: 0.2794 | Train Acc: 99.91% | Test Acc: 75.74% | Time: 230.4s
Epoch [66/160] | LR: 0.2765 | Train Acc: 99.93% | Test Acc: 75.59% | Time: 230.4s
Epoch [67/160] | LR: 0.2735 | Train Acc: 99.93% | Test Acc: 75.49% | Time: 230.5s
Epoch [68/160] | LR: 0.2706 | Train Acc: 99.94% | Test Acc: 75.89% | Time: 230.4s
Epoch [69/160] | LR: 0.2676 | Train Acc: 99.94% | Test Acc: 75.60% | Time: 230.5s
Epoch [70/160] | LR: 0.2647 | Train Acc: 99.95% | Test Acc: 75.72% | Time: 230.4s
Epoch [71/160] | LR: 0.2618 | Train Acc: 99.95% | Test Acc: 75.87% | Time: 230.4s
Epoch [72/160] | LR: 0.2588 | Train Acc: 99.96% | Test Acc: 75.81% | Time: 230.4s
Epoch [73/160] | LR: 0.2559 | Train Acc: 99.96% | Test Acc: 76.09% | Time: 230.4s
Epoch [74/160] | LR: 0.2529 | Train Acc: 99.95% | Test Acc: 75.99% | Time: 230.4s
Epoch [75/160] | LR: 0.2500 | Train Acc: 99.96% | Test Acc: 76.13% | Time: 230.4s
Epoch [76/160] | LR: 0.2471 | Train Acc: 99.94% | Test Acc: 76.51% | Time: 230.4s
Epoch [77/160] | LR: 0.2441 | Train Acc: 99.96% | Test Acc: 76.27% | Time: 230.3s
Epoch [78/160] | LR: 0.2412 | Train Acc: 99.95% | Test Acc: 76.60% | Time: 230.3s
Epoch [79/160] | LR: 0.2382 | Train Acc: 99.96% | Test Acc: 76.68% | Time: 230.4s
Epoch [80/160] | LR: 0.2353 | Train Acc: 99.97% | Test Acc: 76.10% | Time: 230.5s
Epoch [81/160] | LR: 0.2324 | Train Acc: 99.96% | Test Acc: 76.33% | Time: 230.3s
Epoch [82/160] | LR: 0.2294 | Train Acc: 99.96% | Test Acc: 76.36% | Time: 230.5s
Epoch [83/160] | LR: 0.2265 | Train Acc: 99.98% | Test Acc: 76.21% | Time: 230.6s
Epoch [84/160] | LR: 0.2235 | Train Acc: 99.98% | Test Acc: 76.37% | Time: 230.5s
Epoch [85/160] | LR: 0.2206 | Train Acc: 99.97% | Test Acc: 76.37% | Time: 230.5s
Epoch [86/160] | LR: 0.2176 | Train Acc: 99.98% | Test Acc: 76.67% | Time: 230.4s
Epoch [87/160] | LR: 0.2147 | Train Acc: 99.97% | Test Acc: 76.49% | Time: 230.4s
Epoch [88/160] | LR: 0.2118 | Train Acc: 99.98% | Test Acc: 76.51% | Time: 230.5s
Epoch [89/160] | LR: 0.2088 | Train Acc: 99.97% | Test Acc: 76.34% | Time: 230.4s
Epoch [90/160] | LR: 0.2059 | Train Acc: 99.97% | Test Acc: 76.44% | Time: 230.5s
Epoch [91/160] | LR: 0.2029 | Train Acc: 99.97% | Test Acc: 76.30% | Time: 230.3s
Epoch [92/160] | LR: 0.2000 | Train Acc: 99.98% | Test Acc: 76.38% | Time: 230.4s
Epoch [93/160] | LR: 0.1971 | Train Acc: 99.97% | Test Acc: 76.32% | Time: 230.3s
Epoch [94/160] | LR: 0.1941 | Train Acc: 99.97% | Test Acc: 76.50% | Time: 230.5s
Epoch [95/160] | LR: 0.1912 | Train Acc: 99.97% | Test Acc: 76.44% | Time: 230.5s
Epoch [96/160] | LR: 0.1882 | Train Acc: 99.97% | Test Acc: 76.39% | Time: 230.4s
Epoch [97/160] | LR: 0.1853 | Train Acc: 99.96% | Test Acc: 76.37% | Time: 230.5s
Epoch [98/160] | LR: 0.1824 | Train Acc: 99.97% | Test Acc: 76.50% | Time: 230.1s
Epoch [99/160] | LR: 0.1794 | Train Acc: 99.98% | Test Acc: 76.50% | Time: 230.5s
Epoch [100/160] | LR: 0.1765 | Train Acc: 99.97% | Test Acc: 76.54% | Time: 230.5s
Epoch [101/160] | LR: 0.1735 | Train Acc: 99.97% | Test Acc: 76.60% | Time: 230.5s
Epoch [102/160] | LR: 0.1706 | Train Acc: 99.97% | Test Acc: 76.47% | Time: 230.5s
Epoch [103/160] | LR: 0.1676 | Train Acc: 99.98% | Test Acc: 76.54% | Time: 230.5s
Epoch [104/160] | LR: 0.1647 | Train Acc: 99.98% | Test Acc: 76.51% | Time: 230.7s
Epoch [105/160] | LR: 0.1618 | Train Acc: 99.97% | Test Acc: 76.50% | Time: 230.4s
Epoch [106/160] | LR: 0.1588 | Train Acc: 99.97% | Test Acc: 76.56% | Time: 230.4s
Epoch [107/160] | LR: 0.1559 | Train Acc: 99.97% | Test Acc: 76.49% | Time: 230.3s
Epoch [108/160] | LR: 0.1529 | Train Acc: 99.98% | Test Acc: 76.65% | Time: 230.4s
Epoch [109/160] | LR: 0.1500 | Train Acc: 99.97% | Test Acc: 76.56% | Time: 230.5s
Epoch [110/160] | LR: 0.1471 | Train Acc: 99.97% | Test Acc: 76.57% | Time: 230.5s
Epoch [111/160] | LR: 0.1441 | Train Acc: 99.98% | Test Acc: 76.52% | Time: 230.4s
Epoch [112/160] | LR: 0.1412 | Train Acc: 99.98% | Test Acc: 76.60% | Time: 230.3s
Epoch [113/160] | LR: 0.1382 | Train Acc: 99.97% | Test Acc: 76.65% | Time: 230.5s
Epoch [114/160] | LR: 0.1353 | Train Acc: 99.97% | Test Acc: 76.53% | Time: 230.4s
Epoch [115/160] | LR: 0.1324 | Train Acc: 99.98% | Test Acc: 76.46% | Time: 230.4s
Epoch [116/160] | LR: 0.1294 | Train Acc: 99.98% | Test Acc: 76.54% | Time: 230.5s
Epoch [117/160] | LR: 0.1265 | Train Acc: 99.98% | Test Acc: 76.64% | Time: 230.5s
