Epoch,LR,Train Loss,Train Acc,Test Loss,Test Acc,Time(s)
1,0.016666666666666666,4.509734083048502,2.26,4.401502331542969,3.09,38.35999059677124
1,0.016666666666666666,4.478062346394856,2.8366666666666664,4.486268798828125,3.65,38.522910594940186
1,0.016666666666666666,4.50776391398112,2.4566666666666666,4.421406042480469,3.59,38.67482352256775
2,0.03333333333333333,4.103096365992228,5.85,4.075562878417969,7.57,36.520055055618286
2,0.03333333333333333,3.945122115325928,8.97,3.814255224609375,11.59,37.211708068847656
2,0.03333333333333333,4.1788759071350094,5.696666666666666,4.057733996582031,8.16,36.629374980926514
3,0.05,3.862244385910034,8.69,3.8101627685546875,10.84,36.8753776550293
3,0.05,3.9415216907501223,8.233333333333333,3.7848991333007813,10.53,36.64348745346069
3,0.05,3.5935024868011474,14.1,3.6026910705566406,14.5,37.42013692855835
4,0.06666666666666667,3.6743921621958413,10.593333333333334,4.129114184570312,11.46,36.626381158828735
4,0.06666666666666667,3.7428806798299155,10.56,3.5621463684082033,14.84,36.70614671707153
4,0.06666666666666667,3.2957426929473876,18.583333333333332,3.5628554077148435,18.63,37.53649282455444
5,0.08333333333333334,3.4756879315694174,13.333333333333334,3.3014945068359376,17.9,36.57969093322754
5,0.08333333333333334,3.5437687552134194,13.133333333333333,4.684379992675781,10.67,36.71865487098694
5,0.08333333333333334,2.9837130315144855,24.616666666666667,3.60801591796875,22.79,37.58142685890198
6,0.1,3.283443521753947,15.503333333333334,3.953914404296875,15.32,36.70839881896973
6,0.1,3.328137020746867,16.05,3.4021556030273437,19.83,36.717281341552734
6,0.1,2.7108822736104328,29.773333333333333,3.840096984863281,24.18,37.558486461639404
7,0.11666666666666668,3.121108590443929,18.183333333333334,3.2533202331542967,21.82,36.59937858581543
7,0.11666666666666668,3.1452288522084553,19.113333333333333,3.0634990295410156,22.91,36.727396726608276
7,0.11666666666666668,2.4560078252156576,34.85333333333333,2.7668890380859374,32.48,37.60358738899231
8,0.13333333333333333,2.932423305130005,20.80666666666667,2.9013987060546875,26.55,36.58876705169678
8,0.13333333333333333,2.958597688039144,22.42,3.241670129394531,23.8,36.70498609542847
8,0.13333333333333333,2.2561864134470624,38.903333333333336,3.1811275695800783,29.23,37.58841276168823
9,0.15000000000000002,2.7930619532267253,23.086666666666666,2.8197748046875,27.76,36.66504979133606
9,0.15000000000000002,2.7486627722422283,26.22,2.664256652832031,31.52,36.692124366760254
9,0.15000000000000002,2.078784321594238,42.666666666666664,2.6510887451171876,36.16,37.58378481864929
10,0.16666666666666669,2.6377572068532307,26.08,2.6934816040039062,30.93,36.67395615577698
